"","precinct","rec_yr","boro","adams","trunc_rate","subst_rate","subst_count","trunc_count","ln_sr","ln_tr","comp_count","pct_pop","pop_white","pop_nhwhite","pop_black","pop_nhblack","pop_hisp","pop_nonhisp","pop_asian","pop_nhasian","pop_nat","pop_birac","share_wh","share_nhwh","share_bl","share_nhbl","share_hisp","share_nonhisp","share_asian","share_nat","share_bir","comp_rate_p100k"
"339","32",2020,"Manhattan",0,54.5454545454545,6.81818181818182,3,24,1.91959284073794,3.99903438241778,44,81240,9970,8151,49970,46466,20488,60752,2311,2236,593,7914,0.122722796651896,0.10033234859675,0.615091088133924,0.571959625800099,0.252191038897095,0.747808961,0.028446578,0.00729936,0.097415066,54.1605120630231
"340","32",2021,"Manhattan",0,38.3333333333333,13.3333333333333,8,23,2.59026716544583,3.64631983969514,60,81240,9970,8151,49970,46466,20488,60752,2311,2236,593,7914,0.122722796651896,0.10033234859675,0.615091088133924,0.571959625800099,0.252191038897095,0.747808961,0.028446578,0.00729936,0.097415066,73.8552437223043
"341","32",2022,"Manhattan",1,54.5454545454545,16.3636363636364,9,30,2.79506157809184,3.99903438241778,55,81240,9970,8151,49970,46466,20488,60752,2311,2236,593,7914,0.122722796651896,0.10033234859675,0.615091088133924,0.571959625800099,0.252191038897095,0.747808961,0.028446578,0.00729936,0.097415066,67.7006400787789
"342","32",2023,"Manhattan",1,51.5151515151515,3.03030303030303,2,34,1.10866262452161,3.94187596857783,66,81240,9970,8151,49970,46466,20488,60752,2311,2236,593,7914,0.122722796651896,0.10033234859675,0.615091088133924,0.571959625800099,0.252191038897095,0.747808961,0.028446578,0.00729936,0.097415066,81.2407680945347
"343","32",2024,"Manhattan",1,57.1428571428571,0,0,8,-Inf,4.04555439805267,14,81240,9970,8151,49970,46466,20488,60752,2311,2236,593,7914,0.122722796651896,0.10033234859675,0.615091088133924,0.571959625800099,0.252191038897095,0.747808961,0.028446578,0.00729936,0.097415066,17.232890201871
"344","33",2017,"Manhattan",0,56.8181818181818,4.54545454545455,2,25,1.51412773262978,4.03985637693803,44,71598,14290,11132,10046,7572,47780,23818,3045,2891,1069,12600,0.199586580630744,0.155479203329702,0.140311181876589,0.105757144054303,0.66733707645465,0.33266292354535,0.042529121,0.0149305846532026,0.175982569345512,61.4542305650996
"345","33",2018,"Manhattan",0,30.7692307692308,7.69230769230769,3,12,2.04022082852655,3.42651518964645,39,71598,14290,11132,10046,7572,47780,23818,3045,2891,1069,12600,0.199586580630744,0.155479203329702,0.140311181876589,0.105757144054303,0.66733707645465,0.33266292354535,0.042529121,0.0149305846532026,0.175982569345512,54.470795273611
"346","33",2019,"Bronx",0,100,0,0,1,-Inf,4.60517018598809,1,71598,14290,11132,10046,7572,47780,23818,3045,2891,1069,12600,0.199586580630744,0.155479203329702,0.140311181876589,0.105757144054303,0.66733707645465,0.33266292354535,0.042529121,0.0149305846532026,0.175982569345512,1.39668705829772
"347","33",2019,"Manhattan",0,48.1481481481481,7.40740740740741,2,13,2.00248050054371,3.8742826774453,27,71598,14290,11132,10046,7572,47780,23818,3045,2891,1069,12600,0.199586580630744,0.155479203329702,0.140311181876589,0.105757144054303,0.66733707645465,0.33266292354535,0.042529121,0.0149305846532026,0.175982569345512,37.7105505740384
"348","33",2020,"Manhattan",0,38.4615384615385,11.5384615384615,3,10,2.44568593663472,3.64965874096066,26,71598,14290,11132,10046,7572,47780,23818,3045,2891,1069,12600,0.199586580630744,0.155479203329702,0.140311181876589,0.105757144054303,0.66733707645465,0.33266292354535,0.042529121,0.0149305846532026,0.175982569345512,36.3138635157407
