CB2020,CT2020,BCTCB2020,GEOID,OBJECTID,CTLabel,BoroCT2020,NAME,DP03_0128PE,precinct
"2000","017200","30172002000","360470172002000",1364,"172","3017200",,,"62"
"2000","017400","30174002000","360470174002000",1365,"174","3017400",,,"62"
"2000","017600","30176002000","360470176002000",2185,"176","5017600",,,"62"
"2000","017800","30178002000","360470178002000",1368,"178","3017800",,,"62"
"2000","018000","30180002000","360470180002000",1370,"180","3018000",,,"62"
"2000","018200","30182002000","360470182002000",1372,"182","3018200",,,"62"
"2000","018400","30184002000","360470184002000",1374,"184","3018400",,,"62"
"2000","018600","30186002000","360470186002000",1376,"186","3018600",,,"62"
"2000","018800","30188002000","360470188002000",1378,"188","3018800",,,"62"
"2000","019000","30190002000","360470190002000",1379,"190","3019000",,,"62"
"2000","019400","30194002000","360470194002000",2269,"194","1019400",,,"62"
"2000","019800","30198002000","360470198002000",2036,"198","5019800",,,"62"
"2000","024600","30246002000","360470246002000",1430,"246","3024600",,,"62"
"2000","024800","30248002000","360470248002000",2284,"248","5024800",,,"62"
"2000","025000","30250002000","360470250002000",1434,"250","3025000",,,"62"
"2003","027800","30278002003","360470278002003",1463,"278","3027800",,,"62"
"2003","028000","30280002003","360470280002003",1465,"280","3028000",,,"62"
"2003","028200","30282002003","360470282002003",1467,"282","3028200",,,"62"
"2003","029200","30292002003","360470292002003",1477,"292","3029200",,,"62"
"2003","029800","30298002003","360470298002003",1483,"298","3029800",,,"62"
"2003","030400","30304002003","360470304002003",1489,"304","3030400",,,"62"
"2003","040200","30402002003","360470402002003",1571,"402","3040200",,,"62"
"2003","040400","30404002003","360470404002003",1573,"404","3040400",,,"62"
"2003","041200","30412002003","360470412002003",1581,"412","3041200",,,"62"
"2003","042400","30424002003","360470424002003",1594,"424","3042400",,,"62"
"2003","042600","30426002003","360470426002003",1596,"426","3042600",,,"62"
"2000","025200","30252002000","360470252002000",1436,"252","3025200",,,"62"
"2000","025400","30254002000","360470254002000",1438,"254","3025400",,,"62"
"2000","025600","30256002000","360470256002000",1440,"256","3025600",,,"62"
"2000","025800","30258002000","360470258002000",1442,"258","3025800",,,"62"
"2000","026000","30260002000","360470260002000",1445,"260","3026000",,,"62"
"2000","026200","30262002000","360470262002000",1447,"262","3026200",,,"62"
"2000","026400","30264002000","360470264002000",2262,"264","2026400",,,"62"
"2000","026600","30266002000","360470266002000",1451,"266","3026600",,,"62"
"2000","026800","30268002000","360470268002000",1453,"268","3026800",,,"62"
