precinct,pct_pop,pop_white,pop_nhwhite,pop_black,pop_nhblack,pop_hisp,pop_nonhisp,pop_asian,pop_nhasian,pop_nat,pop_birac,share_wh,share_nhwh,share_bl,share_nhbl,share_hisp,share_nonhisp,share_asian,share_nat,share_bir
19,220261,170499,166155,5538,5020,17077,203184,22794,22639,240,16070,0.7740771176013911,0.7543550605872125,0.0251428986520537,0.022791143234617114,0.07753074761305906,0.922469252386941,0.10348631850395668,0.0010896164096231289,0.07295889876101534
20,114575,82682,80306,4738,4201,11207,103368,13101,12992,226,9769,0.721640846607026,0.7009033384246127,0.041352825660048005,0.03666593934104299,0.09781365917521274,0.9021863408247872,0.11434431595025092,0.001972507091424831,0.08526292821296094
22,129,39,32,58,49,32,97,2,2,3,12,0.3023255813953488,0.24806201550387597,0.4496124031007752,0.3798449612403101,0.24806201550387597,0.751937984496124,0.015503875968992248,0.023255813953488372,0.09302325581395349
23,74769,17324,13021,20650,17320,33989,40780,7765,7647,1135,9449,0.23170030360176008,0.1741497144538512,0.2761839799917078,0.23164680549425565,0.4545867939921625,0.5454132060078375,0.1038532011930078,0.015180088004386845,0.12637590445238
24,107489,63030,59657,12329,10742,21611,85878,9920,9831,476,11846,0.5863855836411168,0.5550056284829146,0.11470010884834728,0.09993580738494172,0.20105313101805766,0.7989468689819423,0.09228851324321559,0.0044283601112671996,0.11020662579426732
25,50996,8254,5844,20629,17987,22752,28244,2265,2178,906,6445,0.16185583182994745,0.11459722331163229,0.40452192328810105,0.3527139383481057,0.44615263942269984,0.5538473605773002,0.04441524825476508,0.017766099301906032,0.12638246136951917
26,50002,18795,17337,10272,9197,12121,37881,8608,8565,391,5372,0.37588496460141596,0.3467261309547618,0.20543178272869086,0.18393264269429224,0.24241030358785648,0.7575896964121435,0.172153113875445,0.0078196872125115,0.10743570257189712
28,49200,12592,11627,22728,21144,10416,38784,2859,2812,237,5623,0.2559349593495935,0.23632113821138212,0.46195121951219514,0.4297560975609756,0.21170731707317073,0.7882926829268293,0.05810975609756098,0.004817073170731707,0.11428861788617886
30,60456,13068,10953,16033,14125,30402,30054,2294,2219,1002,8961,0.21615720524017468,0.18117308455736403,0.26520113801773193,0.2336409951038772,0.5028781262405717,0.49712187375942835,0.037944951700410214,0.016574037316395396,0.14822350138944027
32,81240,9970,8151,49970,46466,20488,60752,2311,2236,593,7914,0.12272279665189562,0.10033234859675037,0.6150910881339242,0.5719596258000985,0.25219103889709504,0.747808961102905,0.0284465780403742,0.0072993599212210734,0.09741506646971936
33,71598,14290,11132,10046,7572,47780,23818,3045,2891,1069,12600,0.1995865806307439,0.15547920332970194,0.14031118187658873,0.1057571440543032,0.6673370764546496,0.33266292354535043,0.04252912092516551,0.014930584653202603,0.17598256934551246
34,108608,32088,27090,9242,5589,69464,39144,3024,2860,1288,18615,0.29544784914555094,0.2494291396582204,0.0850950206246317,0.05146029758397171,0.6395845609899823,0.36041543901001766,0.02784325279905716,0.011859163229228049,0.17139621390689452
40,100929,9590,2556,34544,27765,67216,33713,1022,909,2348,14569,0.09501728938164453,0.02532473322830901,0.34226040087586324,0.27509437327230035,0.6659731098098663,0.33402689019013365,0.010125930109284744,0.02326387856810233,0.1443489978103419
41,54454,4708,941,16498,13025,38895,15559,445,383,1163,7932,0.08645829507474198,0.017280640540639807,0.30297131523855,0.23919271311565726,0.7142725970543945,0.28572740294560545,0.008172035112204797,0.021357476034818378,0.14566423035956955
42,93755,6180,1538,43033,36599,52646,41109,634,518,1001,12272,0.06591648445416244,0.016404458428883793,0.4589941869766946,0.39036851367927045,0.5615273852061223,0.43847261479387767,0.006762306010346115,0.010676763905925018,0.1308943523012106
43,188015,16063,4848,58804,50332,103510,84505,21561,21300,3306,23819,0.08543467276547084,0.025785176714623832,0.31276227960535063,0.2677020450495971,0.550541180224982,0.44945881977501795,0.11467702045049596,0.017583703427917985,0.1266867005292131
44,150436,10327,3240,50918,43227,97804,52632,2745,2596,2362,20371,0.06864713233534527,0.021537397963253477,0.33846951527559893,0.2873447844930735,0.650136935308038,0.34986306469196204,0.018246962163311974,0.0157010290090138,0.13541306602143105
45,130799,39963,32282,35277,31226,53720,77079,9313,9147,1214,15895,0.30552985879096933,0.24680616824287646,0.26970389681878304,0.23873271202379223,0.41070650387235375,0.5892934961276463,0.07120085015940489,0.009281416524591166,0.1215223357976743
